class,state,frequency,frequency_bin,real_center,imag_center,gamma_magnitude,sample_count
1,closed,719.0,719.0,0.3133392333984375,0.5504608154296875,0.6333944935900825,26
1,closed,720.0,720.0,0.3023223876953125,0.50262451171875,0.5865408987294123,24
1,closed,721.0,721.0,0.319549560546875,0.5938873291015625,0.6743990519811609,24
1,closed,722.0,722.0,0.32281494140625,0.523162841796875,0.6147429100299593,21
1,closed,723.0,723.0,0.327178955078125,0.503387451171875,0.6003707143451708,23
1,closed,724.0,724.0,0.3309326171875,0.592193603515625,0.6783875449648156,23
1,closed,725.0,725.0,0.3334503173828125,0.5702667236328125,0.660600673815582,26
1,closed,726.0,726.0,0.344940185546875,0.6107635498046875,0.7014384116764176,12
1,closed,727.0,727.0,0.33880615234375,0.510040283203125,0.6123158493423964,15
1,closed,728.0,728.0,0.3342437744140625,0.513885498046875,0.6130230059609864,10
1,closed,729.0,729.0,0.33843994140625,0.5494537353515625,0.645322400998796,28
1,closed,730.0,730.0,0.3312530517578125,0.55322265625,0.644813067242879,26
1,closed,731.0,731.0,0.344757080078125,0.526611328125,0.6294258774260645,25
1,closed,732.0,732.0,0.3551177978515625,0.5561065673828125,0.6598205548762768,26
1,closed,733.0,733.0,0.3515472412109375,0.607025146484375,0.7014734430236101,26
1,closed,734.0,734.0,0.317413330078125,0.605712890625,0.683841595678837,11
1,closed,735.0,735.0,0.3338470458984375,0.601593017578125,0.6880174480737153,12
1,closed,736.0,736.0,0.3324127197265625,0.6053314208984375,0.6905970933640914,14
1,closed,737.0,737.0,0.331390380859375,0.5565338134765625,0.647726385188134,14
1,closed,738.0,738.0,0.339691162109375,0.605010986328125,0.6938504011622018,13
1,closed,739.0,739.0,0.339263916015625,0.52093505859375,0.6216697997991625,15
1,closed,740.0,740.0,0.3590545654296875,0.5194549560546875,0.6314694231122193,12
1,closed,741.0,741.0,0.362396240234375,0.569061279296875,0.6746567827651382,12
1,closed,742.0,742.0,0.3462371826171875,0.5257720947265625,0.6295367203109323,12
1,closed,743.0,743.0,0.318115234375,0.524810791015625,0.6136967237226439,25
1,closed,744.0,744.0,0.317962646484375,0.538299560546875,0.6251932992637608,27
1,closed,745.0,745.0,0.333465576171875,0.54266357421875,0.636932528040066,27
1,closed,746.0,746.0,0.2840576171875,0.4906768798828125,0.5669678388883909,12
1,closed,747.0,747.0,0.294647216796875,0.659088134765625,0.7219516270187188,11
1,closed,748.0,748.0,0.2550048828125,0.580902099609375,0.634408968717181,10
1,closed,824.0,824.0,0.429473876953125,0.71014404296875,0.8299110631562576,287
1,closed,825.0,825.0,0.429351806640625,0.708953857421875,0.8288296241200147,268
1,closed,826.0,826.0,0.43023681640625,0.70806884765625,0.8285319614913085,265
1,closed,827.0,827.0,0.423492431640625,0.7086944580078125,0.8255868667002138,234
1,closed,828.0,828.0,0.43853759765625,0.710601806640625,0.835027036783262,209
1,closed,829.0,829.0,0.438995361328125,0.70465087890625,0.8302106891692985,221
1,closed,830.0,830.0,0.4370269775390625,0.7075347900390625,0.8316237479849578,230
1,closed,831.0,831.0,0.442138671875,0.70947265625,0.8359653432612022,207
1,closed,832.0,832.0,0.4408111572265625,0.7064666748046875,0.8327122185635403,218
1,closed,833.0,833.0,0.441436767578125,0.70037841796875,0.8278866758960629,253
1,closed,834.0,834.0,0.4452972412109375,0.7058868408203125,0.8346052151007404,264
1,closed,835.0,835.0,0.45001220703125,0.7083282470703125,0.8391900214342627,242
1,closed,836.0,836.0,0.4432373046875,0.710205078125,0.8371681797949424,277
1,closed,837.0,837.0,0.4483642578125,0.704620361328125,0.8351768443161792,289
1,closed,838.0,838.0,0.450836181640625,0.7059478759765625,0.8376250153094276,286
1,closed,839.0,839.0,0.44769287109375,0.7107696533203125,0.8400133373400939,334
1,closed,840.0,840.0,0.4471282958984375,0.705352783203125,0.8351324815653115,342
1,closed,841.0,841.0,0.45361328125,0.7059326171875,0.8391101649578468,344
1,closed,842.0,842.0,0.4505157470703125,0.7086639404296875,0.8397434244003662,372
1,closed,843.0,843.0,0.4512939453125,0.705078125,0.83713881013201,387
1,closed,844.0,844.0,0.456573486328125,0.706634521484375,0.8413035690945749,383
1,closed,845.0,845.0,0.45904541015625,0.704681396484375,0.8410104393743806,399
1,closed,846.0,846.0,0.46868896484375,0.705413818359375,0.8469226652408467,369
1,closed,847.0,847.0,0.4651336669921875,0.704803466796875,0.8444508600140643,384
1,closed,848.0,848.0,0.46563720703125,0.7098388671875,0.8489341705585283,439
1,closed,849.0,849.0,0.469146728515625,0.70880126953125,0.849998760332052,467
2,closed,703.0,703.0,0.3274688720703125,0.5763702392578125,0.6629015876260297,40
2,closed,704.0,704.0,0.3366546630859375,0.578704833984375,0.6695040306483517,38
2,closed,705.0,705.0,0.3346099853515625,0.6373291015625,0.7198279141540957,40
2,closed,706.0,706.0,0.31597900390625,0.5951080322265625,0.6737924761602472,20
2,closed,707.0,707.0,0.3009033203125,0.5611572265625,0.6367418951964791,25
2,closed,708.0,708.0,0.293182373046875,0.529144287109375,0.6049376665788679,11
2,closed,709.0,709.0,0.3104095458984375,0.5824432373046875,0.659995614278488,14
2,closed,710.0,710.0,0.3118743896484375,0.62994384765625,0.7029188332364884,12
